=	v-w1f1	=-001
abdikovat	v-w3f1	abdikovat-001
absentovat	v-w5f1	absentovat-001
absentovat	v-w5f2	absentovat-002
absolvovat	v-w9f3_ZU	absolvovat-002
absolvovat	v-w9f2_ZU	absolvovat-002	substituted with v-w9f3_ZU
absolvovat	v-w9f5_ZU	absolvovat-001
absolvovat	v-w9f1	absolvovat-001	substituted with v-w9f5_ZU
absolvovat	v-w9f4_ZU	absolvovat-001	substituted with v-w9f5_ZU
absorbovat	v-w10f1	absorbovat-001
abstrahovat	v-w12f1	abstrahovat-002
abstrahovat	v-w12f2	abstrahovat-001
adaptovat	v-w15f1	adaptovat-001
adaptovat se	v-w16f1	adaptovat se-001
adoptovat	v-w20f1	adoptovat-001
adresovat	v-w23f1	adresovat-001
agitovat	v-whsa_1919hsa_1920	agitovat-001
akcelerovat	v-w28f1	akcelerovat-001
akcentovat	v-w31f1	akcentovat-001
akceptovat	v-w34f1	akceptovat-001
aklimatizovat se	v-w11998_ZUf2_ZU	aklimatizovat se-001
aklimatizovat se	v-w11998_ZUf1_ZU	aklimatizovat se-001	substituted with v-w11998_ZUf2_ZU
akreditovat	v-w36f1	akreditovat-001
aktivizovat	v-w39f1	aktivizovat-001
aktivizovat se	v-w40f1	aktivizovat se-001
aktivovat	v-w10527f2	aktivovat-001
aktualizovat	v-w42f1	aktualizovat-001
akumulovat	v-w44f1	akumulovat-001
alarmovat	v-w46f1	alarmovat-001
alokovat	v-w10972f3	alokovat-001
alternovat	v-w54f1	alternovat-001
amputovat	v-w56f1	amputovat-001
analyzovat	v-w59f1	analyzovat-001
anektovat	v-w61f1	anektovat-001
angažovat	v-w64f1	angažovat-001
angažovat	v-w64f2_ZU	angažovat-002
angažovat se	v-w65f1	angažovat se-001
anoncovat	v-w67f1	anoncovat-001
anulovat	v-w70f1	anulovat-001
apelovat	v-w72f1	apelovat-001
aplaudovat	v-w73f1	aplaudovat-001
aplikovat	v-w76f1	aplikovat-003
aplikovat	v-w76f2	aplikovat-002
aplikovat	v-w76f3	aplikovat-001
archivovat	v-w81f1	archivovat-001
argumentovat	v-w79f1	argumentovat-001
asfaltovat	v-w10929f2	asfaltovat-001
asimilovat	v-w12217_ZUf1_ZU	asimilovat-001
asistovat	v-w90f1	asistovat-001
asociovat	v-w92f1	asociovat-001
aspirovat	v-w93f2	aspirovat-001
aspirovat	v-w93f1	aspirovat-001	substituted with v-w93f2
atakovat	v-w95f1	atakovat-001
atomizovat	v-w98f1	atomizovat-001
automatizovat	v-w11166f2	automatizovat-001
autorizovat	v-w11025f2	autorizovat-001
avansovat	v-w12131_ZUf1_ZU	avansovat-001
avizovat	v-w105f1	avizovat-001
bacit	v-whsa_1897hsa_1898	bacit-001
bagatelizovat	v-w108f1	bagatelizovat-001
balancovat	v-w111f1	balancovat-001
balit	v-w113f1	balit-002
balit	v-w113f2	balit-001
balit	v-w113f3	balit-004
balit	v-w113f4	balit-003
balit	v-w113f5_ZU	balit-005
balit se	v-w114f1	balit se-001
bankrotovat	v-w118f1	bankrotovat-001
barvit	v-w121f1	barvit-001
batolit se	v-w126f1	batolit se-001
bavit	v-w128f1	bavit-002
bavit	v-w128f2	bavit-001
bavit se	v-w129f2	bavit se-003
bavit se	v-w129f3	bavit se-002
bavit se	v-w129f4_ZU	bavit se-001
bavit se	v-w129f1	bavit se-001	substituted with v-w129f4_ZU
bazírovat	v-w130f1	bazírovat-001
baštit	v-w12148_ZUf1_ZU	baštit-001
bdít	v-w131f1	bdít-001
bdít	v-w131f2	bdít-002
belhat se	v-w137f1	belhat se-001
benefitovat	v-w10966f2	benefitovat-001
betonovat	v-w11950_ZUf2_ZU	betonovat-001
betonovat	v-w11950_ZUf1_ZU	betonovat-001	substituted with v-w11950_ZUf2_ZU
bečet	v-w132f1	bečet-001
bilancovat	v-w149f1	bilancovat-001
bičovat	v-w147f1	bičovat-001
biřmovat	v-w12020_ZUf1_ZU	biřmovat-001
blahopřát	v-w155f1	blahopřát-001
blahořečit	v-w10196f2	blahořečit-001
blamovat	v-w157f1	blamovat-001
blbnout	v-whsa_1409f1_ZU	blbnout-001
blbnout	v-whsa_1409hsa_1410	blbnout-001	substituted with v-whsa_1409f1_ZU
blednout	v-w158f1	blednout-001
blekotat	v-w12230_ZUf1_ZU	blekotat-001
blikat	v-w10399f2	blikat-001
blokovat	v-w165f1	blokovat-001
bloudit	v-w167f1	bloudit-001
bloumat	v-whsa_1026hsa_1027	bloumat-001
bláznit	v-w12201_ZUf1_ZU	bláznit-001
bláznit	v-w12201_ZUf2_ZU	bláznit-002
blížit se	v-w162f1	blížit se-002
blížit se	v-w162f2	blížit se-005
blížit se	v-w162f3	blížit se-004
blížit se	v-w162f4	blížit se-001
blížit se	v-w162f5	blížit se-003
blýskat se	v-w168f1	blýskat se-001
blýskat se	v-w168f3_ZU	blýskat se-002
blýskat se	v-w168f2_ZU	blýskat se-002	substituted with v-w168f3_ZU
blýsknout se	v-w169f1	blýsknout se-001
bodnout	v-w170f1	bodnout-001
bodnout	v-w170f2	bodnout-002
bodnout	v-w170f3	bodnout-003
bodovat	v-w172f1	bodovat-002
bodovat	v-w172f2	bodovat-001
bohatnout	v-w173f1	bohatnout-001
bojkotovat	v-w177f1	bojkotovat-001
bojovat	v-w178f1	bojovat-002
bojovat	v-w178f2	bojovat-001
bojovat	v-w178hsa_269	bojovat-003
bolet	v-w183f1	bolet-001
bolet	v-w183f2	bolet-002
bolet	v-w183f3_ZU	bolet-003
bombardovat	v-w185f1	bombardovat-001
bortit se	v-w186f1	bortit se-001
bouchat	v-w11731_ZUf3_ZU	bouchat-001
bouchat	v-w11731_ZUf1_ZU	bouchat-001	substituted with v-w11731_ZUf3_ZU
bouchat	v-w11731_ZUf2_ZU	bouchat-001	substituted with v-w11731_ZUf3_ZU
bouchnout	v-w189f1	bouchnout-003
bouchnout	v-w189f2	bouchnout-004
bouchnout	v-w189f3	bouchnout-002
bouchnout	v-w189f4	bouchnout-001
bouchnout se	v-w11938_ZUf1_ZU	bouchnout se-001
bourat	v-w191f1	bourat-001
bouřit	v-w192f1	bouřit-001
bouřit	v-w192f2	bouřit-002
bouřit se	v-w193f1	bouřit se-001
boxovat	v-w194f1	boxovat-001
brblat	v-w206f2	brblat-001
brblat	v-w206f1	brblat-001	substituted with v-w206f2
brebentit	v-w10657f2	brebentit-001
brebentit	v-w10657f4_ZU	brebentit-002
brebentit	v-w10657f3_ZU	brebentit-002	substituted with v-w10657f4_ZU
brečet	v-w10702f2	brečet-001
brnkat	v-w12339_MMf1_MM	brnkat-001
brnknout	v-whsa_1115hsa_1116	brnknout-001
brodit se	v-w208f1	brodit se-001
brodit se	v-w208hsa_560	brodit se-002
brojit	v-w209f1	brojit-001
broukat	v-w11504_ZUf1_ZU	broukat-001
brousit	v-w210f1	brousit-001
brousit si	v-w211f1	brousit si-001
brouzdat	v-whsa_1232hsa_1233	brouzdat-001
brouzdat se	v-whsa_1836hsa_1837	brouzdat se-001
brumlat	v-w215f1	brumlat-001
bruslit	v-w217f1	bruslit-001
bruslit	v-w217f2_ZU	bruslit-002
bruslívat	v-whsa_376hsa_377	bruslívat-001
bručet	v-w10673f2	bručet-001
brzdit	v-w220f1	brzdit-001
brzdit	v-w220f2	brzdit-002
bránit	v-w198f1	bránit-003
bránit	v-w198f2	bránit-001
bránit	v-w198f3	bránit-002
bránit se	v-w199f1	bránit se-001
brát	v-w202f2	brát-024
brát	v-w202f5	brát-008
brát	v-w202f6	brát-003
brát	v-w202f7	brát-009
brát	v-w202f8	brát-001
brát	v-w202f9	brát-010
brát	v-w202f10	brát-018
brát	v-w202f11	brát-011
brát	v-w202f12	brát-022
brát	v-w202f13	brát-023
brát	v-w202f14	brát-020
brát	v-w202f15	brát-005
brát	v-w202f16	brát-029
brát	v-w202f17	brát-028
brát	v-w202f18	brát-013
brát	v-w202f19	brát-021
brát	v-w202f20	brát-019
brát	v-w202f22	brát-026
brát	v-w202f23	brát-014
brát	v-w202f24	brát-025
brát	v-w202f26	brát-016
brát	v-w202f28	brát-017
brát	v-w202f29_ZU	brát-015
brát	v-w202f30_ZU	brát-030
brát	v-w202hsa_1078	brát-030	substituted with v-w202f30_ZU
brát	v-w202f33_ZU	brát-031
brát	v-w202f34_ZU	brát-027
brát	v-w202f21	brát-027	substituted with v-w202f34_ZU
brát	v-w202f35_ZU	brát-007
brát	v-w202f3	brát-007	substituted with v-w202f35_ZU
brát	v-w202f36_ZU	brát-032
brát	v-w202f37_ZU	brát-033
brát	v-w202f38_ZU	brát-034
brát	v-w202f32_ZU	brát-034	substituted with v-w202f38_ZU
brát	v-w202f39_ZU	brát-006
brát	v-w202f25	brát-006	substituted with v-w202f39_ZU
brát	v-w202f41_ZU	brát-012
brát	v-w202f27	brát-012	substituted with v-w202f41_ZU
brát	v-w202f42_ZU	brát-002
brát	v-w202f4	brát-002	substituted with v-w202f42_ZU
brát	v-w202f43_ZU	brát-004
brát	v-w202f1	brát-004	substituted with v-w202f43_ZU
brát	v-w202f31_ZU	brát-004	substituted with v-w202f43_ZU
brát	v-w202hsa_1928	brát-004	substituted with v-w202f43_ZU
brát	v-w202f44_ZU	brát-035
brát	v-w202f45_MM	brát-036
brát	v-w202f40_ZU	brát-036	substituted with v-w202f45_MM
brát	v-w202hsa_1926	brát-036	substituted with v-w202f45_MM
brát	v-w202hsa_1927	brát-037
brát se	v-w203f1	brát se-002
brát se	v-w203f2	brát se-001
brát se	v-w203f3	brát se-003
brát se	v-w203hsa_1930	brát se-004	obsolete
brát si	v-w204f1	brát si-001
brát si	v-w204f2	brát si-002
brát si	v-w204f3	brát si-003
brát si	v-w204f4_ZU	brát si-005
brát si	v-w204f6_ZU	brát si-004
brát si	v-w204f5_ZU	brát si-004	substituted with v-w204f6_ZU
brát si	v-w204hsa_1475	brát si-006
brát si	v-w204hsa_1476	brát si-007
brávat	v-whsa_1346hsa_1347	brávat-001
brázdit	v-w205f1	brázdit-001
brázdit	v-w205f2	brázdit-002
bubnovat	v-w222f1	bubnovat-001
budit	v-w224f2	budit-001
budit	v-w224hsa_390	budit-002
budit	v-w224f1	budit-002	substituted with v-w224hsa_390
budit	v-w224f3_ZU	budit-002	substituted with v-w224hsa_390
budit se	v-w225f1	budit se-001
budovat	v-w228f1	budovat-002
budovat	v-w228f2	budovat-001
bujet	v-w231f1	bujet-001
burcovat	v-w234f1	burcovat-001
burácet	v-w232f1	burácet-001
bučet	v-w10291f2	bučet-001
bušit	v-w237f1	bušit-004
bušit	v-w237f2	bušit-002
bušit	v-w237f3	bušit-003
bušit	v-w237f4	bušit-001
bušit	v-w237hsa_479	bušit-005
bydlet	v-w239f1	bydlet-001
